policy,terminal_wealth,final_inventory,abs_inventory,fills,bid_fills,ask_fills,fill_rate,spread_capture,adverse_selection,inventory_penalty,no_quote_side_time_frac,full_no_quote_time_frac,quote_updates,n_events,path_id,rho_hat,rho_true,epsilon,horizon,decision_dt,scenario_id
nominal_hawkes,-0.26843382835744706,3.0,3.0,33,18,15,1.0,0.7406249999999999,0.4860536911971849,12.95355336857633,0.0,0.0,31,33,0,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma,-0.26280882835755165,3.0,3.0,33,18,15,1.0,0.7462500000000002,0.4860536911971849,12.95355336857633,0.0,0.0,31,33,0,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,-0.0996838283574016,3.0,3.0,33,18,15,1.0,0.9093750000000007,0.4860536911971849,12.95355336857633,0.0,0.0,31,33,0,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,-0.0996838283574016,3.0,3.0,33,18,15,1.0,0.9093750000000007,0.4860536911971849,12.95355336857633,0.0,0.0,31,33,0,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,-0.8762560924092893,2.0,2.0,36,19,17,0.9230769230769231,1.1259375,0.5393113261509086,29.864055101027375,0.09844656074820013,0.0,35,39,1,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma,-0.870318592409586,2.0,2.0,36,19,17,0.9230769230769231,1.131875,0.5393113261509086,29.864055101027375,0.09844656074820013,0.0,35,39,1,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,-0.7184435924092551,2.0,2.0,36,19,17,0.9230769230769231,1.2837500000000004,0.5393113261509086,29.864055101027375,0.09844656074820013,0.0,35,39,1,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,-0.7184435924092551,2.0,2.0,36,19,17,0.9230769230769231,1.2837500000000004,0.5393113261509086,29.864055101027375,0.09844656074820013,0.0,35,39,1,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,-2.1598903045879543,4.0,4.0,42,23,19,0.9767441860465116,1.036875,0.6302160358475959,52.10726021306376,0.10706785104259359,0.0,35,43,2,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma,-2.153015304588202,4.0,4.0,42,23,19,0.9767441860465116,1.0437500000000002,0.6302160358475959,52.10726021306376,0.10706785104259359,0.0,35,43,2,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,-1.9442653045881362,4.0,4.0,42,23,19,0.9767441860465116,1.2525000000000008,0.6302160358475959,52.10726021306376,0.10706785104259359,0.0,35,43,2,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,-1.9442653045881362,4.0,4.0,42,23,19,0.9767441860465116,1.2525000000000008,0.6302160358475959,52.10726021306376,0.10706785104259359,0.0,35,43,2,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,-0.37010064269918824,3.0,3.0,113,58,55,0.8968253968253969,3.3471874999999938,1.7086832755941828,35.14561311998856,0.08379139498446564,0.0,93,126,3,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma,-0.3529131426994952,3.0,3.0,113,58,55,0.8968253968253969,3.3643749999999955,1.7086832755941828,35.14561311998856,0.08379139498446564,0.0,93,126,3,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,0.100211857300789,3.0,3.0,113,58,55,0.8968253968253969,3.8174999999999946,1.7086832755941828,35.14561311998856,0.08379139498446564,0.0,93,126,3,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,0.100211857300789,3.0,3.0,113,58,55,0.8968253968253969,3.8174999999999946,1.7086832755941828,35.14561311998856,0.08379139498446564,0.0,93,126,3,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,0.08076751047699572,-1.0,1.0,45,22,23,1.0,1.0274999999999999,0.681129771428644,11.402898899471987,0.0,0.0,38,45,4,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
