rho,one_minus_rho,n,mean_error,q95_error
0.3,0.7,25,0.22796701737224728,0.559989709868587
0.3,0.7,50,0.16119702387078755,0.39597252124276516
0.3,0.7,100,0.11398350868612364,0.2799948549342935
0.3,0.7,250,0.07208950062914746,0.1770842949441605
0.5,0.5,25,0.3191538243211462,0.7839855938160216
0.5,0.5,50,0.22567583341910252,0.5543615297398711
0.5,0.5,100,0.1595769121605731,0.3919927969080108
0.5,0.5,250,0.1009253008808064,0.2479180129218246
0.7,0.30000000000000004,25,0.5319230405352435,1.306642656360036
0.7,0.30000000000000004,50,0.3761263890318375,0.9239358828997851
0.7,0.30000000000000004,100,0.26596152026762176,0.653321328180018
0.7,0.30000000000000004,250,0.16820883480134402,0.41319668820304106
0.85,0.15000000000000002,25,1.063846081070487,2.613285312720072
0.85,0.15000000000000002,50,0.752252778063675,1.8478717657995702
0.85,0.15000000000000002,100,0.5319230405352435,1.306642656360036
0.85,0.15000000000000002,250,0.33641766960268804,0.8263933764060821
0.92,0.07999999999999996,25,1.9947114020071646,4.899909961350137
0.92,0.07999999999999996,50,1.4104739588693915,3.4647595608741963
0.92,0.07999999999999996,100,0.9973557010035823,2.4499549806750687
0.92,0.07999999999999996,250,0.6307831305050404,1.5494875807614048
