scenario_id,path_id,rho_hat,rho_true,epsilon,policy,terminal_wealth,final_inventory,abs_inventory,fills,fill_rate,spread_capture,adverse_selection,inventory_penalty,dt,steps,audit_horizon
rho0.920_eps0.0200_dt0.0400,0,0.92,0.93,0.02,as_poisson,-18.466074886998616,2.0,2.0,267.0,0.89,12.276098224852067,40.78699102034119,59.8799999999998,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,1,0.92,0.93,0.02,as_poisson,2.26876294606767,-2.0,2.0,277.0,0.9233333333333333,11.531320710059179,46.93554053636271,31.239999999999895,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,2,0.92,0.93,0.02,as_poisson,-14.933491097399164,4.0,4.0,171.0,0.57,6.370501775147922,15.413057087841437,95.63999999999982,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,3,0.92,0.93,0.02,as_poisson,-26.521265081468027,2.0,2.0,218.0,0.7266666666666667,10.35076686390532,24.531784188444504,150.20000000000005,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,4,0.92,0.93,0.02,as_poisson,-4.474137098618666,0.0,0.0,229.0,0.7633333333333333,9.360847337278088,28.530382600255066,68.59999999999977,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,5,0.92,0.93,0.02,as_poisson,-8.794202693584976,-4.0,4.0,190.0,0.6333333333333333,7.515662721893481,22.96240347330796,92.36000000000014,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,6,0.92,0.93,0.02,as_poisson,-9.995770847652274,-5.0,5.0,126.0,0.42,4.280383431952657,10.774351476746858,71.2399999999998,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,7,0.92,0.93,0.02,as_poisson,-6.138931429324602,-1.0,1.0,267.0,0.89,9.976079289940845,34.37759542672826,31.519999999999897,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,8,0.92,0.93,0.02,as_poisson,-3.974260642732759,0.0,0.0,250.0,0.8333333333333334,9.41598934911243,30.785738918150628,48.719999999999864,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,9,0.92,0.93,0.02,as_poisson,-9.526346190361183,0.0,0.0,229.0,0.7633333333333333,8.360771597633121,25.72750907742558,57.039999999999836,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,10,0.92,0.93,0.02,as_poisson,6.673221093830131,-2.0,2.0,268.0,0.8933333333333333,12.53112189349117,48.13791933193362,61.95999999999979,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,11,0.92,0.93,0.02,as_poisson,-1.781129382878961,-3.0,3.0,177.0,0.59,5.140577514792893,19.241672665642497,35.79999999999988,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,12,0.92,0.93,0.02,as_poisson,-5.377278695476663,-3.0,3.0,149.0,0.49666666666666665,4.480426035502952,14.070985544652501,58.759999999999806,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,13,0.92,0.93,0.02,as_poisson,14.6532420295726,2.0,2.0,290.0,0.9666666666666667,16.83117869822486,55.1625482158575,109.4799999999997,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,14,0.92,0.93,0.02,as_poisson,-12.800470450325305,2.0,2.0,150.0,0.5,7.325501775147919,16.03981264756655,175.6399999999999,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,15,0.92,0.93,0.02,as_poisson,24.363401100526573,-3.0,3.0,282.0,0.94,21.726249704141907,66.53378853249356,177.2800000000018,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,16,0.92,0.93,0.02,as_poisson,-4.942566297113144,4.0,4.0,244.0,0.8133333333333334,11.365994082840228,36.43496962814298,64.55999999999985,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,17,0.92,0.93,0.02,as_poisson,-6.3375194378108475,2.0,2.0,81.0,0.27,2.4352556213017733,7.0769215606631235,30.319999999999954,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,18,0.92,0.93,0.02,as_poisson,-7.934058218744764,0.0,0.0,233.0,0.7766666666666666,10.350975147928999,36.16131234867626,67.91999999999996,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,19,0.92,0.93,0.02,as_poisson,-7.073758741901246,2.0,2.0,166.0,0.5533333333333333,5.8755396449704085,17.74466554207183,52.51999999999985,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,20,0.92,0.93,0.02,as_poisson,-13.31131832873147,1.0,1.0,151.0,0.5033333333333333,5.66055384615384,18.82858609730718,81.76000000000006,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,21,0.92,0.93,0.02,as_poisson,-10.360005635624361,2.0,2.0,87.0,0.29,2.6252603550295857,8.143698758257628,61.519999999999875,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,22,0.92,0.93,0.02,as_poisson,-12.582632071957857,0.0,0.0,138.0,0.46,5.460416568047334,14.099781970691438,96.40000000000008,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,23,0.92,0.93,0.02,as_poisson,-14.973855745143343,-1.0,1.0,206.0,0.6866666666666666,7.760776331360933,22.556959704638288,56.59999999999977,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,24,0.92,0.93,0.02,as_poisson,-6.043725901265391,0.0,0.0,132.0,0.44,3.6103881656804684,12.129179778615224,32.35999999999994,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,25,0.92,0.93,0.02,as_poisson,-0.49214483311102875,2.0,2.0,45.0,0.15,1.3251325443786985,4.122992926588523,28.9599999999999,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,26,0.92,0.93,0.02,as_poisson,-10.264974021860244,0.0,0.0,129.0,0.43,3.7954023668639,12.010903379139464,81.24000000000004,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,27,0.92,0.93,0.02,as_poisson,-9.321417222814475,-1.0,1.0,82.0,0.2733333333333333,3.6152366863905296,7.255023564078968,140.55999999999983,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,28,0.92,0.93,0.02,as_poisson,-10.402835117540818,-3.0,3.0,159.0,0.53,4.595482840236682,14.381750303908731,57.999999999999844,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,29,0.92,0.93,0.02,as_poisson,-12.621835997580376,2.0,2.0,209.0,0.6966666666666667,8.485776331360935,22.29058169931173,93.36000000000013,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,30,0.92,0.93,0.02,as_poisson,-18.224678878703706,0.0,0.0,177.0,0.59,7.25553964497041,15.12470289581664,163.87999999999965,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,31,0.92,0.93,0.02,as_poisson,-8.618198276969721,0.0,0.0,82.0,0.2733333333333333,2.6902319526627183,7.699950717469449,74.67999999999991,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,32,0.92,0.93,0.02,as_poisson,-3.936109908373723,-1.0,1.0,99.0,0.33,3.0752745562130155,7.7344431197404475,56.79999999999978,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,33,0.92,0.93,0.02,as_poisson,-5.446560353817231,2.0,2.0,198.0,0.66,6.07563905325443,21.340424690643076,42.23999999999987,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,34,0.92,0.93,0.02,as_poisson,-15.485004987560382,-4.0,4.0,223.0,0.7433333333333333,13.39579526627218,29.039591213623723,192.64,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,35,0.92,0.93,0.02,as_poisson,-11.229671511794601,3.0,3.0,109.0,0.36333333333333334,3.135302958579876,9.993375514836188,39.99999999999988,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,36,0.92,0.93,0.02,as_poisson,-1.992328120489876,-1.0,1.0,72.0,0.24,2.325194082840235,5.760750159107687,69.64000000000004,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,37,0.92,0.93,0.02,as_poisson,-4.729870365062736,0.0,0.0,257.0,0.8566666666666667,11.24587100591715,30.614222477067244,90.96,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,38,0.92,0.93,0.02,as_poisson,-7.388386768813154,0.0,0.0,140.0,0.4666666666666667,4.180416568047332,13.188743310219508,55.079999999999906,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,39,0.92,0.93,0.02,as_poisson,-11.421633877632043,0.0,0.0,161.0,0.5366666666666666,6.390487573964485,18.712507412587968,176.11999999999958,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,40,0.92,0.93,0.02,as_poisson,-11.417595439421643,-6.0,6.0,94.0,0.31333333333333335,3.265260355029582,7.808159323574557,160.2400000000002,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,41,0.92,0.93,0.02,as_poisson,-12.431462570604186,-1.0,1.0,158.0,0.5266666666666666,7.465506508875733,15.886886460588173,124.76000000000003,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,42,0.92,0.93,0.02,as_poisson,-13.706081534194166,-4.0,4.0,262.0,0.8733333333333333,12.286102958579884,35.071408420072615,82.95999999999985,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,43,0.92,0.93,0.02,as_poisson,-4.635481738070191,3.0,3.0,95.0,0.31666666666666665,2.3652887573964483,7.495925330631877,29.119999999999937,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,44,0.92,0.93,0.02,as_poisson,-7.969057817649869,0.0,0.0,156.0,0.52,4.685520710059162,15.2860792897268,52.67999999999971,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,45,0.92,0.93,0.02,as_poisson,-5.321457512354313,-2.0,2.0,92.0,0.30666666666666664,1.9202461538461542,7.443106511272333,31.479999999999944,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,46,0.92,0.93,0.02,as_poisson,-7.571278376939443,3.0,3.0,188.0,0.6266666666666667,6.455643786982242,21.242551192218144,77.91999999999994,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,47,0.92,0.93,0.02,as_poisson,-3.5154835889828635,-2.0,2.0,253.0,0.8433333333333334,10.021013017751471,31.718679911518777,50.47999999999979,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,48,0.92,0.93,0.02,as_poisson,-5.540246280815587,1.0,1.0,183.0,0.61,6.145582248520705,17.31549765869444,81.84000000000039,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,49,0.92,0.93,0.02,as_poisson,-23.390782441162017,1.0,1.0,201.0,0.67,9.740596449704135,21.153629914702435,212.15999999999974,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,50,0.92,0.93,0.02,as_poisson,-16.868024661567134,1.0,1.0,263.0,0.8766666666666667,13.226159763313643,37.00805762921068,135.67999999999952,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,51,0.92,0.93,0.02,as_poisson,-17.742830963351413,-1.0,1.0,269.0,0.8966666666666666,12.846093491124273,36.19838505091617,93.64000000000013,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,52,0.92,0.93,0.02,as_poisson,-21.99870645165177,4.0,4.0,254.0,0.8466666666666667,13.286074556213029,38.300941024001546,161.63999999999928,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,53,0.92,0.93,0.02,as_poisson,-8.906230895582102,-2.0,2.0,253.0,0.8433333333333334,13.871031952662735,37.720574997522405,128.20000000000002,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,54,0.92,0.93,0.02,as_poisson,-14.424024788813053,-4.0,4.0,181.0,0.6033333333333334,6.61556804733727,16.15691314086054,99.63999999999993,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,55,0.92,0.93,0.02,as_poisson,-17.287835971172946,-4.0,4.0,164.0,0.5466666666666666,8.45555384615384,17.312724047453884,138.63999999999987,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,56,0.92,0.93,0.02,as_poisson,-32.05703695127753,-1.0,1.0,97.0,0.3233333333333333,4.570265088757391,9.541134134767788,287.56000000000097,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,57,0.92,0.93,0.02,as_poisson,-2.3371594640174194,-3.0,3.0,70.0,0.23333333333333334,1.9951846153846158,5.885750812627336,61.83999999999971,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,58,0.92,0.93,0.02,as_poisson,-2.0199172214369936,-2.0,2.0,26.0,0.08666666666666667,0.7000757396449706,1.942225007927064,32.039999999999985,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,59,0.92,0.93,0.02,as_poisson,-12.406254066041777,-3.0,3.0,201.0,0.67,8.255714792899395,24.759869726278325,77.4799999999998,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,60,0.92,0.93,0.02,as_poisson,-5.576859523460907,-1.0,1.0,242.0,0.8066666666666666,8.650979881656795,31.61487185187009,34.51999999999992,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,61,0.92,0.93,0.02,as_poisson,-7.22746242826347,-2.0,2.0,116.0,0.38666666666666666,3.410340828402361,10.336888007905998,54.679999999999715,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,62,0.92,0.93,0.02,as_poisson,-8.027376078829372,-2.0,2.0,213.0,0.71,6.265695857988159,21.418335222977035,55.83999999999991,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,63,0.92,0.93,0.02,as_poisson,-15.159268149441454,2.0,2.0,62.0,0.20666666666666667,2.005156213017752,4.895503065039165,199.51999999999987,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,64,0.92,0.93,0.02,as_poisson,-1.402876686760095,0.0,0.0,251.0,0.8366666666666667,9.341547928994105,43.08683273629239,28.439999999999937,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,65,0.92,0.93,0.02,as_poisson,-1.6753769947548656,-4.0,4.0,93.0,0.31,2.565298224852069,7.893486592539517,33.75999999999995,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,66,0.92,0.93,0.02,as_poisson,-4.457725716544331,4.0,4.0,198.0,0.66,6.795676923076916,17.294579577860645,66.27999999999984,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,67,0.92,0.93,0.02,as_poisson,-4.341179454610771,1.0,1.0,125.0,0.4166666666666667,3.1703834319526583,11.564404961777115,31.399999999999935,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,68,0.92,0.93,0.02,as_poisson,-1.1869251933401195,0.0,0.0,32.0,0.10666666666666667,0.7050757396449706,2.3205182361875956,29.47999999999986,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,69,0.92,0.93,0.02,as_poisson,-3.51586679514004,-5.0,5.0,29.0,0.09666666666666666,0.7300804733727813,2.327431575389838,48.03999999999998,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,70,0.92,0.93,0.02,as_poisson,-4.51791800763748,1.0,1.0,99.0,0.33,3.120274556213014,9.126306969174834,72.51999999999988,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,71,0.92,0.93,0.02,as_poisson,-5.84756570636109,1.0,1.0,71.0,0.23666666666666666,1.9051846153846161,5.783044174245731,53.23999999999973,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,72,0.92,0.93,0.02,as_poisson,-10.792919057445925,4.0,4.0,112.0,0.37333333333333335,3.6203266272189296,9.838222311276198,69.79999999999981,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,73,0.92,0.93,0.02,as_poisson,-11.464196226006784,5.0,5.0,145.0,0.48333333333333334,6.040435502958576,13.223770112306156,86.63999999999999,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,74,0.92,0.93,0.02,as_poisson,-8.993198897201946,5.0,5.0,99.0,0.33,2.860288757396449,8.277256823114172,90.35999999999994,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,75,0.92,0.93,0.02,as_poisson,-12.308903746619446,-5.0,5.0,66.0,0.22,2.3801846153846156,5.643009805524997,120.31999999999975,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,76,0.92,0.93,0.02,as_poisson,-9.813419293824989,0.0,0.0,267.0,0.89,12.891065088757411,39.811910001738255,87.72000000000011,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,77,0.92,0.93,0.02,as_poisson,-11.80581776591752,-2.0,2.0,107.0,0.3566666666666667,2.965298224852068,9.326833790772142,61.23999999999988,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,78,0.92,0.93,0.02,as_poisson,-4.258019015577569,-2.0,2.0,228.0,0.76,7.000970414201174,25.551561333121896,23.879999999999946,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,79,0.92,0.93,0.02,as_poisson,-7.0753838133146045,1.0,1.0,148.0,0.49333333333333335,4.73041656804733,12.978833309742427,93.95999999999991,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,80,0.92,0.93,0.02,as_poisson,-22.908965489562526,-2.0,2.0,210.0,0.7,8.93574319526626,22.43639429005661,183.35999999999967,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,81,0.92,0.93,0.02,as_poisson,-13.52326394138489,3.0,3.0,154.0,0.5133333333333333,5.690525443786976,18.302399453006373,42.27999999999993,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,82,0.92,0.93,0.02,as_poisson,-4.348580946144034,-1.0,1.0,148.0,0.49333333333333335,5.195435502958574,14.445321838006947,70.35999999999991,0.04,300,12.0
