policy,epsilon,rho,one_minus_rho,half_spread,raw_uncapped_half_spread,capped,smooth_region,finite_diff_d_half_drho,analytic_uncapped_d_half_drho,analytic_local_d_half_drho,abs_derivative_error,expected_critical_exponent
nominal_hawkes,0.0025,0.3,0.7,0.020004081632653062,0.020004081632653062,False,True,1.1661807630669035e-05,1.1661807580174929e-05,1.1661807580174929e-05,5.049410562796893e-14,3.0
robust_gamma,0.0025,0.3,0.7,0.020004591836734694,0.020004591836734694,False,True,1.3119533584502665e-05,1.3119533527696795e-05,1.3119533527696795e-05,5.680586989025623e-14,3.0
robust_gamma_abs,0.0025,0.3,0.7,0.020005539358600583,0.020005539358600583,False,True,1.7909204501325014e-05,1.7909204498125784e-05,1.7909204498125784e-05,3.1992298892523363e-15,4.0
nominal_hawkes,0.0025,0.5,0.5,0.020008,0.020008,False,True,3.200000004566347e-05,3.2e-05,3.2e-05,4.566347164757997e-14,3.0
robust_gamma,0.0025,0.5,0.5,0.020009000000000002,0.020009000000000002,False,True,3.600000002968736e-05,3.6e-05,3.6e-05,2.968735961271854e-14,3.0
robust_gamma_abs,0.0025,0.5,0.5,0.020012000000000002,0.020012000000000002,False,True,5.6000000123279167e-05,5.6000000000000006e-05,5.6000000000000006e-05,1.2327916058861924e-13,4.0
nominal_hawkes,0.0025,0.7,0.30000000000000004,0.020022222222222223,0.020022222222222223,False,True,0.00014814814843706314,0.00014814814814814806,0.00014814814814814806,2.8891507784269133e-13,3.0
robust_gamma,0.0025,0.7,0.30000000000000004,0.020025,0.020025,False,True,0.0001666666669266439,0.00016666666666666658,0.00016666666666666658,2.5997731528323853e-13,3.0
robust_gamma_abs,0.0025,0.7,0.30000000000000004,0.02004074074074074,0.02004074074074074,False,True,0.00033333333437370483,0.00033333333333333316,0.00033333333333333316,1.0403716733595192e-12,4.0
nominal_hawkes,0.0025,0.85,0.15000000000000002,0.02008888888888889,0.02008888888888889,False,True,0.0011851851956497055,0.0011851851851851845,0.0011851851851851845,1.0464520959832524e-11,3.0
robust_gamma,0.0025,0.85,0.15000000000000002,0.0201,0.0201,False,True,0.0013333333451276026,0.0013333333333333326,0.0013333333333333326,1.1794269987736028e-11,3.0
