time_index,inventory,rho_hat,epsilon,ambiguity,rho_worst,value
0,-5,0.3,0.005,relative_slack,0.3035,-1.689011621277793
0,-4,0.3,0.005,relative_slack,0.3035,-1.0136391610115483
0,-3,0.3,0.005,relative_slack,0.3035,-0.49670351384181277
0,-2,0.3,0.005,relative_slack,0.3035,-0.16135998252472772
0,-1,0.3,0.005,relative_slack,0.3035,0.0195754407456667
0,0,0.3,0.005,relative_slack,0.3035,0.08094557081634596
0,1,0.3,0.005,relative_slack,0.3035,0.0195754407456667
0,2,0.3,0.005,relative_slack,0.3035,-0.16135998252472772
0,3,0.3,0.005,relative_slack,0.3035,-0.49670351384181277
0,4,0.3,0.005,relative_slack,0.3035,-1.0136391610115483
0,5,0.3,0.005,relative_slack,0.3035,-1.689011621277793
1,-5,0.3,0.005,relative_slack,0.3035,-1.6764083215741479
1,-4,0.3,0.005,relative_slack,0.3035,-1.0087311734391258
1,-3,0.3,0.005,relative_slack,0.3035,-0.4966983350818378
1,-2,0.3,0.005,relative_slack,0.3035,-0.16359689931674765
1,-1,0.3,0.005,relative_slack,0.3035,0.016606466037690247
1,0,0.3,0.005,relative_slack,0.3035,0.07770742358560254
1,1,0.3,0.005,relative_slack,0.3035,0.016606466037690247
1,2,0.3,0.005,relative_slack,0.3035,-0.16359689931674765
1,3,0.3,0.005,relative_slack,0.3035,-0.4966983350818378
1,4,0.3,0.005,relative_slack,0.3035,-1.0087311734391258
1,5,0.3,0.005,relative_slack,0.3035,-1.6764083215741479
2,-5,0.3,0.005,relative_slack,0.3035,-1.663371400810425
2,-4,0.3,0.005,relative_slack,0.3035,-1.0035463610999062
2,-3,0.3,0.005,relative_slack,0.3035,-0.49656677059496446
2,-2,0.3,0.005,relative_slack,0.3035,-0.1657960022527107
2,-1,0.3,0.005,relative_slack,0.3035,0.0136418415207528
2,0,0.3,0.005,relative_slack,0.3035,0.07446368893509925
2,1,0.3,0.005,relative_slack,0.3035,0.0136418415207528
2,2,0.3,0.005,relative_slack,0.3035,-0.1657960022527107
2,3,0.3,0.005,relative_slack,0.3035,-0.49656677059496446
2,4,0.3,0.005,relative_slack,0.3035,-1.0035463610999062
2,5,0.3,0.005,relative_slack,0.3035,-1.663371400810425
3,-5,0.3,0.005,relative_slack,0.3035,-1.6498921872815537
3,-4,0.3,0.005,relative_slack,0.3035,-0.9980762851961675
3,-3,0.3,0.005,relative_slack,0.3035,-0.4963038271230059
3,-2,0.3,0.005,relative_slack,0.3035,-0.16795552980948655
3,-1,0.3,0.005,relative_slack,0.3035,0.010681687702099811
3,0,0.3,0.005,relative_slack,0.3035,0.07121416140136022
3,1,0.3,0.005,relative_slack,0.3035,0.010681687702099811
3,2,0.3,0.005,relative_slack,0.3035,-0.16795552980948655
3,3,0.3,0.005,relative_slack,0.3035,-0.4963038271230059
3,4,0.3,0.005,relative_slack,0.3035,-0.9980762851961675
3,5,0.3,0.005,relative_slack,0.3035,-1.6498921872815537
4,-5,0.3,0.005,relative_slack,0.3035,-1.6359620067611633
4,-4,0.3,0.005,relative_slack,0.3035,-0.9923123171578161
4,-3,0.3,0.005,relative_slack,0.3035,-0.49590432989421207
4,-2,0.3,0.005,relative_slack,0.3035,-0.1700736314983089
4,-1,0.3,0.005,relative_slack,0.3035,0.007726125655027741
4,0,0.3,0.005,relative_slack,0.3035,0.06795862885053844
4,1,0.3,0.005,relative_slack,0.3035,0.007726125655027741
4,2,0.3,0.005,relative_slack,0.3035,-0.1700736314983089
4,3,0.3,0.005,relative_slack,0.3035,-0.49590432989421207
4,4,0.3,0.005,relative_slack,0.3035,-0.9923123171578161
4,5,0.3,0.005,relative_slack,0.3035,-1.6359620067611633
5,-5,0.3,0.005,relative_slack,0.3035,-1.62157219345875
5,-4,0.3,0.005,relative_slack,0.3035,-0.9862456384357516
5,-3,0.3,0.005,relative_slack,0.3035,-0.495362917533014
5,-2,0.3,0.005,relative_slack,0.3035,-0.1721483628856922
5,-1,0.3,0.005,relative_slack,0.3035,0.004775276707388358
5,0,0.3,0.005,relative_slack,0.3035,0.06469687233695598
5,1,0.3,0.005,relative_slack,0.3035,0.004775276707388358
5,2,0.3,0.005,relative_slack,0.3035,-0.1721483628856922
5,3,0.3,0.005,relative_slack,0.3035,-0.495362917533014
5,4,0.3,0.005,relative_slack,0.3035,-0.9862456384357516
5,5,0.3,0.005,relative_slack,0.3035,-1.62157219345875
6,-5,0.3,0.005,relative_slack,0.3035,-1.6067141178466942
6,-4,0.3,0.005,relative_slack,0.3035,-0.9798669628458287
6,-3,0.3,0.005,relative_slack,0.3035,-0.4946740370771857
6,-2,0.3,0.005,relative_slack,0.3035,-0.17417768030390487
6,-1,0.3,0.005,relative_slack,0.3035,0.0018292620914610468
6,0,0.3,0.005,relative_slack,0.3035,0.06142866596590672
6,1,0.3,0.005,relative_slack,0.3035,0.0018292620914610468
6,2,0.3,0.005,relative_slack,0.3035,-0.17417768030390487
6,3,0.3,0.005,relative_slack,0.3035,-0.4946740370771857
6,4,0.3,0.005,relative_slack,0.3035,-0.9798669628458287
6,5,0.3,0.005,relative_slack,0.3035,-1.6067141178466942
7,-5,0.3,0.005,relative_slack,0.3035,-1.5913792302599883
7,-4,0.3,0.005,relative_slack,0.3035,-0.9731662945527679
7,-3,0.3,0.005,relative_slack,0.3035,-0.4938333963239989
7,-2,0.3,0.005,relative_slack,0.3035,-0.17615943241177076
7,-1,0.3,0.005,relative_slack,0.3035,-0.0011117974650178843
7,0,0.3,0.005,relative_slack,0.3035,0.05815377676201088
7,1,0.3,0.005,relative_slack,0.3035,-0.0011117974650178843
7,2,0.3,0.005,relative_slack,0.3035,-0.17615943241177076
