ticker,event_group,event_types,n_events_raw,event_share,mu,rho,beta,neg_loglik,success,hit_beta_upper,n_events_fit,horizon,event_rate_fit,residual_mean,residual_variance,residual_ks_stat,residual_ks_pvalue
AAPL,all,all,118497,1.0,0.8465509570819671,0.33965478783848474,112.88419167397369,-2595.7837543881833,True,False,30000,23399.908994956997,1.2820562681019578,0.9999839781684109,1.7243936954651438,0.06917197677935394,4.2211644911410306e-125
AAPL,limit,1,54818,0.46261086778568233,0.8237342066038844,0.35752480728091773,115.91365773061486,-4504.6178829758865,True,False,30000,23399.439833202,1.282081973493755,1.0000435152471048,1.6515433895721878,0.05548620038261576,1.2008217126115345e-80
AAPL,cancel_delete,"2,3",28689,0.24210739512392718,0.7353536393331419,0.4002623489499728,148.4131591025766,-13808.086181645478,True,True,28689,23399.242163246996,1.2260653486061008,1.0000503405658752,1.9624862786024013,0.124136115715353,0.0
AAPL,execution,"4,5",34990,0.29528173709039046,0.4717069020326516,0.6320575164098723,148.4131591025766,-55575.25645404009,True,True,30000,23399.638136466998,1.2820711083239666,0.999995475281457,2.463007851234108,0.31942104653708214,0.0
AMZN,all,all,57515,1.0,0.650502880973947,0.4927177766029474,148.4131591025766,-28548.36155304366,True,True,30000,23399.941957546995,1.2820544621190542,1.00012567501866,2.0600396757258443,0.12339377830338881,0.0
AMZN,limit,1,27845,0.4841345735894984,0.6036234284716292,0.49274442385043804,148.4131591025766,-25810.946852226407,False,True,27845,23399.768664789997,1.189969029133985,1.0000224228337316,2.1237438989283954,0.16757694658020333,0.0
AMZN,cancel_delete,"2,3",18251,0.3173259149787012,0.4502363944612853,0.4228269642932035,148.4131591025766,-5331.901481004177,True,True,18251,23397.680329292998,0.7800345907431878,1.0000591354901875,2.1836968704856132,0.12714601322663924,1.0963255596434736e-256
AMZN,execution,"4,5",11419,0.1985395114318004,0.17582565245648596,0.6398332671348382,148.4131591025766,-17395.510799931657,True,True,11419,23399.528379662996,0.4880012885184679,1.0001063021198067,2.518879480360422,0.3251937794406563,0.0
GOOG,all,all,49482,1.0,0.5455646743246513,0.5745509584985848,148.4131591025766,-43421.178754528686,True,True,30000,23399.305662676,1.2820893248919218,1.0000929628869708,1.8462851227777146,0.19134379964341403,0.0
GOOG,limit,1,24368,0.49246190533931533,0.5112158673447699,0.5091320704640389,148.4131591025766,-22674.561611665267,True,True,24368,23399.166564423,1.0414046129766883,1.0000429434821798,1.7396633381760518,0.16388608739482968,0.0
GOOG,cancel_delete,"2,3",13436,0.27153308273715693,0.3001798098295422,0.47737741382423926,112.32791041473168,-2722.8976671908313,True,False,13436,23395.670190521003,0.574294298499888,1.0001096678367587,1.678539403432307,0.12516769417441165,2.989864179810049e-183
GOOG,execution,"4,5",11678,0.23600501192352774,0.15757803437903,0.6843207620832322,148.4131591025766,-24177.511045554103,True,True,11678,23398.942648953995,0.49908238056739895,1.000083320189687,2.9600433880325943,0.3958358384481421,0.0
INTC,all,all,404986,1.0,0.5409720115546806,0.5779907665027693,148.4131591025766,-59525.69469358371,True,True,30000,23399.943103891,1.2820543993122584,0.9999619757899324,1.5980921512574697,0.1214838107450883,0.0
INTC,limit,1,202231,0.4993530640565353,0.5324382640556038,0.5847236380786951,148.4131591025766,-63047.079441292226,True,True,30000,23399.933605998,1.2820549196904658,1.0000381500346462,1.7331512619071903,0.1527549786381279,0.0
INTC,cancel_delete,"2,3",170272,0.4204392250596317,0.5607108170289337,0.5626742256369197,148.4131591025766,-54613.3205744303,True,True,30000,23399.811731036003,1.2820615971114815,1.0000397235152885,1.7191321574600225,0.09048869099829293,8.763028572129809e-214
INTC,execution,"4,5",32483,0.08020771088383302,0.20081304468812572,0.9986321766559779,148.4131591025766,-126974.61847711708,True,True,30000,23399.942731388,1.2820544197212447,1.1552711896711447,13.63623253601372,0.6701761658503737,0.0
MSFT,all,all,411409,1.0,0.47032205027951696,0.6331939210866729,148.4131591025766,-69259.29622661776,True,True,30000,23399.868323966002,1.2820584964264172,1.0000552851490618,1.9249524835801224,0.17026451683181132,0.0
MSFT,limit,1,205695,0.4999769086237783,0.43105339027430845,0.6637667191989644,148.4131591025766,-78847.79450555675,True,True,30000,23399.528187933996,1.2820771324555829,0.9999927923733822,2.24198333132525,0.22877349970439614,0.0
MSFT,cancel_delete,"2,3",172300,0.4188046445264931,0.5037603767560831,0.6070315371312287,148.4131591025766,-59869.55211456419,True,True,30000,23399.658455762998,1.2820699950264203,0.9999719943048392,1.9394011889777034,0.11885063470377047,0.0
MSFT,execution,"4,5",33414,0.08121844684972862,0.19094069875973793,0.9988336694624896,148.4131591025766,-127548.11774230647,True,True,30000,23399.867945971004,1.2820585171364358,1.1477715387987117,12.497968339711155,0.6799593338849308,0.0
