ticker,event_group,event_types,beta_pair,n_events_raw,event_share,mu,rho,rho_slow,rho_fast,fast_share,beta_slow,beta_fast,neg_loglik,aic,success,n_events_fit,horizon,event_rate_fit,residual_mean,residual_variance,residual_ks_stat,residual_ks_pvalue
AAPL,all,all,"1,100",118497,1.0,0.4266963607520307,0.6672599827116159,0.3543438074535201,0.31291617525809573,0.4689569034043743,1.0,100.0,-6173.8438726106215,-12341.687745221243,True,30000,23399.908994956997,1.2820562681019578,1.0000330128371444,1.013540889156247,0.0464912015612675,9.57265875043475e-57
AAPL,cancel_delete,"2,3","1,100",28689,0.24210739512392718,0.39360110365015744,0.6790276907310389,0.2875091772818293,0.39151851344920957,0.5765869622013531,1.0,100.0,-15214.022424268893,-30422.044848537786,True,28689,23399.242163246996,1.2260653486061008,1.0000349590109352,1.3597248317103032,0.13578682688350088,0.0
AAPL,execution,"4,5","1,100",34990,0.29528173709039046,0.25663970249158746,0.7999123332475018,0.169325997986771,0.6305863352607307,0.7883193058177542,1.0,100.0,-54256.77356748801,-108507.54713497602,True,30000,23399.638136466998,1.2820711083239666,1.0000320404263707,2.159241362692903,0.3391718348032976,0.0
AAPL,limit,1,"1,100",54818,0.46261086778568233,0.4484278346008951,0.6502956705184197,0.3169333645104663,0.33336230600795347,0.5126319013352726,1.0,100.0,-7398.761414341385,-14791.52282868277,True,30000,23399.439833202,1.282081973493755,1.0000336714203781,1.078897377914524,0.05888435802481752,8.964462757162451e-91
AMZN,all,all,"1,100",57515,1.0,0.3584011437569364,0.7205187545518177,0.2275642218892453,0.4929545326625724,0.6841661366180587,1.0,100.0,-29604.23037523595,-59202.4607504719,True,30000,23399.941957546995,1.2820544621190542,1.0000327072712225,1.6868873516163703,0.1520581664271895,0.0
AMZN,cancel_delete,"2,3","1,100",18251,0.3173259149787012,0.2634524087912387,0.6623489258092694,0.23791334059468378,0.42443558521458563,0.6408036137387901,1.0,100.0,-6159.763590997758,-12313.527181995516,True,18251,23397.680329292998,0.7800345907431878,1.0000550816481533,1.694745438877549,0.1498484629625362,0.0
AMZN,execution,"4,5","1,100",11419,0.1985395114318004,0.11105053110828662,0.7726407850185878,0.13558691785676538,0.6370538671618224,0.8245149356780286,1.0,100.0,-17071.08735904754,-34136.17471809508,True,11419,23399.528379662996,0.4880012885184679,1.000089065875344,2.3508721492208435,0.3420763222639489,0.0
AMZN,limit,1,"1,100",27845,0.4841345735894984,0.3487358773757198,0.7069873016116172,0.21404457032558824,0.4929427312860289,0.6972441091407701,1.0,100.0,-26064.908396278788,-52123.816792557576,True,27845,23399.768664789997,1.189969029133985,1.0000414269672808,1.8363488426774606,0.1946037878531536,0.0
GOOG,all,all,"1,100",49482,1.0,0.33467127817373626,0.739022687007375,0.1742477813461824,0.5647749056611925,0.7642186303484299,1.0,100.0,-43697.181181919936,-87388.36236383987,True,30000,23399.305662676,1.2820893248919218,1.00002574136971,1.697530954311315,0.2177675271126816,0.0
GOOG,cancel_delete,"2,3","1,100",13436,0.27153308273715693,0.19382097352483232,0.6625594460954135,0.2253595646046502,0.43719988149076333,0.6598651397504991,1.0,100.0,-4252.279520755712,-8498.559041511424,True,13436,23395.670190521003,0.574294298499888,1.0000744400337465,1.354744920838494,0.13574536697519637,1.8602317713780493e-215
