ticker,event_group,event_types,beta_pair,n_events_raw,event_share,mu,rho,rho_slow,rho_fast,fast_share,beta_slow,beta_fast,neg_loglik,aic,success,n_events_fit,horizon,event_rate_fit,residual_mean,residual_variance,residual_ks_stat,residual_ks_pvalue
AAPL,all,all,"1,100",118497,1.0,0.4266963607520307,0.6672599827116159,0.3543438074535201,0.31291617525809573,0.4689569034043743,1.0,100.0,-6173.8438726106215,-12341.687745221243,True,30000,23399.908994956997,1.2820562681019578,1.0000330128371444,1.013540889156247,0.0464912015612675,9.57265875043475e-57
AAPL,all,all,"5,100",118497,1.0,0.622116171271684,0.514770365975154,0.22242058933463899,0.29234977664051504,0.5679227010022283,5.0,100.0,-5109.202809316295,-10212.40561863259,True,30000,23399.908994956997,1.2820562681019578,1.00003334027757,1.1662489541103371,0.04879568440845418,1.8167623175021478e-62
AAPL,all,all,"1,20",118497,1.0,0.45675671519837546,0.6437959545189142,0.2560896973076079,0.38770625721130636,0.6022191573120794,1.0,20.0,-1438.2193630431466,-2870.438726086293,True,30000,23399.908994956997,1.2820562681019578,1.0000333684090457,1.1068286311022966,0.12683807297579347,0.0
AAPL,limit,1,"1,100",54818,0.46261086778568233,0.4484278346008951,0.6502956705184197,0.3169333645104663,0.33336230600795347,0.5126319013352726,1.0,100.0,-7398.761414341385,-14791.52282868277,True,30000,23399.439833202,1.282081973493755,1.0000336714203781,1.078897377914524,0.05888435802481752,8.964462757162451e-91
AAPL,limit,1,"5,100",54818,0.46261086778568233,0.6273103701242162,0.5107334331249327,0.1958559892839197,0.314877443841013,0.6165201324581966,5.0,100.0,-6560.016386114348,-13114.032772228697,True,30000,23399.439833202,1.282081973493755,1.000033298699663,1.209393128920049,0.06115981858726126,6.838461388937612e-98
AAPL,limit,1,"1,20",54818,0.46261086778568233,0.4820465824789776,0.6240632546516623,0.21145702105338507,0.4126062335982773,0.6611609168185756,1.0,20.0,-2365.4237643838787,-4724.8475287677575,True,30000,23399.439833202,1.282081973493755,1.000033009405269,1.191505582121834,0.13944458723704994,0.0
AAPL,cancel_delete,"2,3","1,100",28689,0.24210739512392718,0.39360110365015744,0.6790276907310389,0.2875091772818293,0.39151851344920957,0.5765869622013531,1.0,100.0,-15214.022424268893,-30422.044848537786,True,28689,23399.242163246996,1.2260653486061008,1.0000349590109352,1.3597248317103032,0.13578682688350088,0.0
AAPL,cancel_delete,"2,3","5,100",28689,0.24210739512392718,0.5499188780234947,0.5515002986689822,0.1724154577269627,0.3790848409420195,0.687370146230059,5.0,100.0,-14323.679180601142,-28641.358361202285,True,28689,23399.242163246996,1.2260653486061008,1.0000347257186433,1.4903128218536346,0.1364659531914684,0.0
AAPL,cancel_delete,"2,3","1,20",28689,0.24210739512392718,0.4144102685143033,0.6620457761835485,0.2049327277680494,0.45711304841549916,0.6904553504601879,1.0,20.0,-6636.546794454684,-13267.093588909367,True,28689,23399.242163246996,1.2260653486061008,1.0000347695519773,1.582851432575524,0.20893754470139786,0.0
AAPL,execution,"4,5","1,100",34990,0.29528173709039046,0.25663970249158746,0.7999123332475018,0.169325997986771,0.6305863352607307,0.7883193058177542,1.0,100.0,-54256.77356748801,-108507.54713497602,True,30000,23399.638136466998,1.2820711083239666,1.0000320404263707,2.159241362692903,0.3391718348032976,0.0
