scenario,policy,priority_initial_queue_fraction,priority_queue_stress_multiplier,tickers,levels,mean_terminal_wealth,mean_abs_inventory,mean_fills,mean_total_fill_lots,mean_fill_rate,mean_join_l1_side_time_frac,mean_improve_side_time_frac,mean_depth_visible_side_time_frac,mean_no_quote_side_time_frac,mean_visible_depth_rank,mean_priority_ahead_additions,mean_priority_ahead_depletion,mean_priority_behind_additions,mean_priority_behind_depletion_ignored,mean_priority_initial_ahead_lots,mean_priority_visible_quote_resets,mean_priority_mean_initial_ahead_lots,max_priority_visible_levels_used,min_priority_visible_depth_rank,max_priority_visible_depth_rank,mean_priority_queue_fills,mean_priority_improve_fills,max_priority_queue_violation_count,mean_priority_partial_fill_events,mean_priority_residual_fill_lots,max_priority_zero_residual_fill_prevented
calibrated_side_gamma,nominal_hawkes,0.0,1.0,5,10,-6.590277120896988,1.5826666666666667,22.8,16.531555555555556,0.000285,0.019853179702105227,0.5386688805443816,0.4222233267120933,0.019254613041419837,2.1474371516269146,38809.02106279992,40078.108657002624,3231.588937198064,1054.7639420289865,126832.78455072487,1838.4,38.14552771279351,10,1,6,3.2,19.6,0,7.8,16.531555555555556,1
calibrated_side_gamma,nominal_hawkes,0.0,1.5,5,10,-6.603576907200792,1.3766666666666665,21.6,15.525555555555556,0.00026999999999999995,0.019853179702105227,0.5386688805443816,0.4222233267120933,0.019254613041419837,2.1457216359436955,38776.11454106083,40293.04864009439,3255.0704589371962,1076.1758985507263,189762.944652174,1836.4,57.198299402420126,10,1,6,2.0,19.6,0,7.6,15.525555555555556,0
calibrated_side_gamma,nominal_hawkes,0.0,2.0,5,10,-6.603576888918232,1.3766666666666665,21.6,15.525555555555556,0.00026999999999999995,0.019858236010795994,0.5386688805443816,0.4222182704034026,0.019254613041419837,2.1457115177489268,38774.26671497388,40405.1038550702,3256.3748067632832,1076.1758985507263,253013.5638840584,1836.4,76.26346026720714,10,1,6,2.0,19.6,0,7.6,15.525555555555556,0
calibrated_side_gamma,nominal_hawkes,0.5,1.0,5,10,-7.839045848734789,1.332666666666666,24.0,16.499333333333333,0.00030000000000000003,0.019501417729785222,0.529535081800973,0.4218672866461427,0.02909621382309919,2.1518916242166486,38763.3306521719,40336.40317632623,3225.659782608692,1056.7729516908225,165945.43680676303,1815.6,50.182777910503,10,1,6,2.4,21.6,0,9.6,16.499333333333333,0
calibrated_side_gamma,nominal_hawkes,0.5,1.5,5,10,-7.951443395294537,1.3994444444444443,22.4,15.837222222222223,0.00028,0.019955159355363024,0.5273556326052853,0.42359299421625246,0.02909621382309919,2.165027454043686,38794.56999999803,40582.189341785175,3267.0082367149744,1081.1358985507263,248548.28955434784,1831.6,75.23538459209458,10,1,6,1.8,20.6,0,8.2,15.837222222222223,0
calibrated_side_gamma,nominal_hawkes,0.5,2.0,5,10,-7.827170758612101,1.3766666666666665,21.8,15.525555555555556,0.0002725,0.018770199408067744,0.5300862665443649,0.42204732022446817,0.02909621382309919,2.1412723138224536,38796.56359903181,40632.67352173685,3251.2929951690808,1060.2111400966196,331222.8528357482,1810.4,100.23701248094804,10,1,6,1.4,20.4,0,7.8,15.525555555555556,1
calibrated_side_gamma,nominal_hawkes,1.0,1.0,5,10,-7.8390078072302884,1.3766666666666665,21.6,15.525555555555556,0.00027,0.01922782913617394,0.5300862665443649,0.42158969049636197,0.02909621382309919,2.1477534216729177,38773.02555555359,40510.61114009436,3255.76147342995,1075.2470096618374,204828.95577294697,1810.4,62.02689122354094,10,1,6,1.2,20.4,0,7.6,15.525555555555556,1
calibrated_side_gamma,nominal_hawkes,1.0,1.5,5,10,-7.837316196765883,1.3766666666666665,21.4,15.125555555555556,0.0002675,0.02056214811568289,0.5300862621281601,0.4202553759330578,0.02909621382309919,2.1493951653308825,38757.35381642316,40633.20871738902,3263.057125603864,1074.6404879227068,306829.99289855047,1809.6,92.97390430046858,10,1,6,1.0,20.4,0,7.8,15.125555555555556,0
calibrated_side_gamma,nominal_hawkes,1.0,2.0,5,10,-8.069473840807687,1.6277777777777778,20.8,14.874444444444444,0.00026,0.02224064103087682,0.5284779670445656,0.4201851781014584,0.02909621382309919,2.233732081099858,38775.868743959596,40599.93860869358,3555.7289613526673,1281.6105845410616,439774.4924154583,1827.8,131.769779758933,10,1,6,0.4,20.4,0,7.6,14.874444444444444,1
near_critical_stress,nominal_hawkes,0.0,1.0,5,10,-6.199149531526732,1.5271111111111115,22.2,16.48933333333333,0.0002775,0.01905109952163878,0.5329295080188625,0.4276766346454163,0.02034275781408243,2.2101218075916353,38856.29328502214,40133.026434780404,3231.0500483091755,1048.0106086956534,127258.82455072486,1882.4,38.35510744041162,10,1,6,3.0,19.2,0,7.4,16.48933333333333,1
