state_variable,state_bucket,n_events,residual_mean,residual_mean_minus_one,residual_variance,residual_ks_stat,residual_ks_pvalue,mark_log_loss,baseline_mark_log_loss,mark_log_loss_improvement,ticker,beta_fixed,spectral_radius,n_events_fit,size_threshold,spread_threshold,depth_threshold
event_group,cancel_delete,7258,0.9723585656483423,-0.027641434351657668,1.5213489221203491,0.0675022098108411,3.763161123736276e-29,2.0205739939754115,2.1103848029471397,0.08981080897172822,AAPL,100.0,0.3687475368594672,30000,100.0,0.14999999999997726,208.0
event_group,execution,8864,1.0445649194000357,0.04456491940003571,1.8668270900631072,0.0721684669444711,1.5904674284587933e-40,1.7237981930269113,1.9115122739897974,0.1877140809628861,AAPL,100.0,0.3687475368594672,30000,100.0,0.14999999999997726,208.0
event_group,limit,13877,0.9866415115288637,-0.013358488471136298,1.6755940796591058,0.05698340035216587,1.453148693874478e-39,1.4099613427941815,1.4606675001919012,0.050706157397719664,AAPL,100.0,0.3687475368594672,30000,100.0,0.14999999999997726,208.0
side,buy,14390,1.0081404524763573,0.008140452476357307,1.7190435123487857,0.0499994219413723,1.133090331394817e-31,1.6967534525321781,1.8011842352098724,0.10443078267769423,AAPL,100.0,0.3687475368594672,30000,100.0,0.14999999999997726,208.0
side,sell,15609,0.9930735511172302,-0.006926448882769831,1.6738382584306748,0.05085828157298766,1.709575966029266e-35,1.6077150748466198,1.7048792012255016,0.09716412637888183,AAPL,100.0,0.3687475368594672,30000,100.0,0.14999999999997726,208.0
size_bucket,large,2733,0.8282264022365778,-0.17177359776342216,1.4457297346526952,0.1711136039556349,6.23612560534661e-70,1.5786460253800696,1.742395978090426,0.1637499527103563,AAPL,100.0,0.3687475368594672,30000,100.0,0.14999999999997726,208.0
size_bucket,small,27266,1.0175487205021294,0.01754872050212941,1.717348846679019,0.04358022866757855,2.096607953504837e-45,1.6576200101905378,1.7519450006776858,0.09432499048714793,AAPL,100.0,0.3687475368594672,30000,100.0,0.14999999999997726,208.0
spread_bucket,tight,15876,1.0816823125169006,0.08168231251690061,2.098381875424157,0.05723429664201825,1.3463473064232034e-45,1.637755989971965,1.7348278487015596,0.09707185872959467,AAPL,100.0,0.3687475368594672,30000,100.0,0.14999999999997726,208.0
spread_bucket,wide,14123,0.9088180823483193,-0.09118191765168071,1.2269600265452694,0.07792255007621618,6.550027231425891e-75,1.6646670458418196,1.7693389273251403,0.10467188148332074,AAPL,100.0,0.3687475368594672,30000,100.0,0.14999999999997726,208.0
imbalance_bucket,ask_heavy,10435,0.9770153992501975,-0.022984600749802464,1.5782023258565356,0.054645748689561735,1.7191506576653232e-27,1.6497748934317389,1.740943735929502,0.09116884249776303,AAPL,100.0,0.3687475368594672,30000,100.0,0.14999999999997726,208.0
