state_variable,state_bucket,ticker_count,total_events,median_residual_mean,median_abs_residual_mean_error,median_residual_ks_stat,median_mark_log_loss_improvement
depth_bucket,high,5,74837,0.9709792468634515,0.053494782886437386,0.20288568667600715,0.1824452807059458
depth_bucket,low,5,75158,1.0292630888901506,0.052628160830283655,0.12859794594315405,0.13885163368424114
event_group,cancel_delete,5,50221,1.0037054619102392,0.027641434351657668,0.14739619821733185,0.12051110284332367
event_group,execution,5,26744,1.0169268153704252,0.04456491940003571,0.15273331962264128,0.38369285931450126
event_group,limit,5,73030,0.9866415115288637,0.02097979526098781,0.1979610244612396,0.15918842145952938
imbalance_bucket,ask_heavy,5,55421,0.9770153992501975,0.031246555973492685,0.15702767063629797,0.17207953733211467
imbalance_bucket,bid_heavy,5,64151,0.9827340730895633,0.03692861901041078,0.2199362982895017,0.17116688085106313
imbalance_bucket,neutral,5,30423,1.0251846411302303,0.04748917660850038,0.1250296320400372,0.1352748441382734
side,buy,5,73184,0.995373837755241,0.008140452476357307,0.2014211682436545,0.16047293864555923
side,sell,5,76811,0.9986669930993263,0.006926448882769831,0.14909051120970343,0.16774560798873006
size_bucket,large,5,34708,0.8282264022365778,0.17829229978211125,0.1711136039556349,0.1687704823844871
size_bucket,small,5,115287,1.0175487205021294,0.01754872050212941,0.15495241833839035,0.13072908129599337
spread_bucket,tight,5,86227,1.1104430575492148,0.1104430575492148,0.09163070975256538,0.09707185872959467
spread_bucket,wide,5,63768,0.8856986829814657,0.1143013170185343,0.21981159318757748,0.29565151957983016
