policy,epsilon,n_smooth_points,estimated_critical_exponent,expected_critical_exponent,loglog_r2,max_abs_derivative_error,max_raw_uncapped_half_spread
nominal_hawkes,0.0025,8,2.999999999999999,3.0,1.0,0.0002560015360337786,0.09999999999999985
nominal_hawkes,0.005,8,2.999999999999999,3.0,1.0,0.0002560015360337786,0.09999999999999985
nominal_hawkes,0.01,8,2.999999999999999,3.0,1.0,0.0002560015360337786,0.09999999999999985
nominal_hawkes,0.02,8,2.999999999999999,3.0,1.0,0.0002560015360337786,0.09999999999999985
nominal_hawkes,0.05,8,2.999999999999999,3.0,1.0,0.0002560015360337786,0.09999999999999985
robust_gamma,0.0025,8,2.9999999999999996,3.0,1.0,0.000288001728122822,0.10999999999999983
robust_gamma,0.005,8,2.9999999999999996,3.0,1.0,0.00032000192020831264,0.11999999999999982
robust_gamma,0.01,8,2.9999999999999987,3.0,1.0,0.0003840023036971729,0.1399999999999998
robust_gamma,0.02,8,2.9999999999999996,3.0,1.0,0.0005120030720604518,0.17999999999999972
robust_gamma,0.05,8,2.9999999999999987,3.0,1.0,0.0008960053757505193,0.2999999999999995
robust_gamma_abs,0.0025,7,3.7416308799199562,4.0,0.9994344065070844,4.494928816711763e-05,0.17703703703703666
robust_gamma_abs,0.005,7,3.840313146690372,4.0,0.9997321657414493,8.884507810336117e-05,0.3251851851851844
robust_gamma_abs,0.01,7,3.9083813514897265,4.0,0.9998989185151504,0.00017663665796874284,0.62148148148148
robust_gamma_abs,0.02,7,3.9502898252058083,4.0,0.9999677396268779,0.0003522198121288511,1.2140740740740712
robust_gamma_abs,0.05,6,3.973925531998741,4.0,0.9999930282230693,1.375034471351455e-05,0.3925925925925916
