experiment,family,epsilon,intercept,slope,r2,p_value,stderr
absolute_gamma_derivative,scalar,0.0025,-11.73606901628444,-3.0000000000000004,1.0,1.2004217548761408e-30,0.0
absolute_gamma_derivative,scalar,0.005,-11.042921835724492,-3.0000000000000004,1.0,1.2004217548761408e-30,0.0
absolute_gamma_derivative,scalar,0.01,-10.349774655164548,-3.0000000000000004,1.0,1.2004217548761408e-30,0.0
absolute_gamma_derivative,scalar,0.02,-9.656627474604601,-2.9999999999999996,0.9999999999999998,1.4044551538035188e-24,2.5809568279517847e-08
absolute_gamma_derivative,scalar,0.05,-8.740336742730445,-2.9999999999999996,1.0,1.2004217548761408e-30,0.0
matrix_resolvent,block,0.0025,-11.782556634490659,-3.0641594746823535,0.9999643305254371,9.041460288852965e-08,0.010565908337757118
matrix_resolvent,block,0.005,-11.101852607107151,-3.0967847075178887,0.9999777800575349,4.445351982367056e-08,0.008428041713400652
matrix_resolvent,block,0.01,-10.436709853223762,-3.133022959558761,0.9999813782084563,3.410542621422804e-08,0.007805805475252913
matrix_resolvent,block,0.02,-9.740942503274697,-3.19689287285005,0.9998285475415161,9.528549161684768e-07,0.024169994307534786
matrix_resolvent,block,0.05,-9.000433256876946,-3.5737561692568116,0.9966264142633875,8.324661892442246e-05,0.12004497069651553
matrix_resolvent,near_degenerate,0.0025,-11.744705013007568,-3.0463602404171373,0.9999617512487924,1.0039676933052449e-07,0.010877712274058086
matrix_resolvent,near_degenerate,0.005,-11.05824980250594,-3.0569216860498636,0.999972744007666,6.039283439947713e-08,0.009214262985636795
matrix_resolvent,near_degenerate,0.01,-10.389445152621251,-3.1070379096593994,0.9999517953188564,1.4204598618274167e-07,0.012454921649981398
matrix_resolvent,near_degenerate,0.02,-9.724238292390542,-3.187131542998503,0.9997829614233628,1.3571334121225186e-06,0.027111588361861227
matrix_resolvent,near_degenerate,0.05,-9.02060948654471,-3.6122206805965607,0.9955998887383694,0.00012403910097859237,0.13864463117174627
matrix_resolvent,rank1,0.0025,-11.743862619773193,-3.0395685974976714,0.9999626221674072,9.698730814042894e-08,0.010729179117270697
matrix_resolvent,rank1,0.005,-11.050690006300659,-3.076826634379006,0.9998744566022436,5.970298415118152e-07,0.019905202554588258
matrix_resolvent,rank1,0.01,-10.383062519854516,-3.1145160493957373,0.9998317586162516,9.262112094575518e-07,0.023325603976636043
matrix_resolvent,rank1,0.02,-9.701412295112004,-3.1897472559552025,0.9999600734204629,1.0707478854286488e-07,0.011636848181676226
matrix_resolvent,rank1,0.05,-8.953149071598276,-3.5353839756285406,0.9977030053450539,4.6755034085328664e-05,0.09793892072743328
matrix_resolvent,sparse,0.0025,-12.042416517852221,-3.366230158167258,0.9980047320979981,3.7848689649344747e-05,0.08689954188536045
matrix_resolvent,sparse,0.005,-10.735894660785641,-2.9662946695162753,0.9917319989252777,0.0003198676547200369,0.15637119786129872
matrix_resolvent,sparse,0.01,-10.397585845554758,-3.190418627475601,0.9986114660079766,2.1968714485772938e-05,0.06868581072734165
matrix_resolvent,sparse,0.02,-9.696492637785983,-3.371704538174595,0.9879464466848137,0.0005636886526463191,0.21502043094340817
matrix_resolvent,sparse,0.05,-8.934225798012548,-3.5201268848449674,0.998521323469322,2.4143009096613032e-05,0.07820879757747333
minimal_relative_slack,scalar,0.0025,-12.429216196844381,-1.9999999999999993,0.9999999999999996,3.972130728273701e-24,2.4333494333259044e-08
minimal_relative_slack,scalar,0.005,-11.736069016284437,-1.9999999999999993,0.9999999999999996,3.972130728273701e-24,2.433349433325904e-08
minimal_relative_slack,scalar,0.01,-11.042921835724492,-1.9999999999999993,0.9999999999999996,3.972130728273701e-24,2.433349433325904e-08
minimal_relative_slack,scalar,0.02,-10.349774655164547,-2.0,1.0,1.2004217548761408e-30,0.0
minimal_relative_slack,scalar,0.05,-9.433483923290392,-2.0,1.0,1.2004217548761408e-30,0.0
